ee	5430842
eo	4375937
te	4300020
ei	4205649
ea	4194163
tn	4052498
ae	4041764
oe	3800491
et	3650373
en	3609354
ao	3484186
er	3389277
se	3389229
it	3388849
tt	3385604
he	3182715
es	3161605
ne	3152901
re	2955471
io	2859831
ts	2847849
oa	2812810
ia	2746759
aa	2732458
ie	2708869
le	2669340
ai	2661037
oo	2646943
is	2621196
oh	2592737
rt	2573042
no	2571020
ot	2526981
ta	2471575
st	2451591
na	2439821
tr	2408787
at	2354744
as	2253306
oi	2224077
ti	2215258
el	2208418
nr	2183162
eh	2129098
rn	2090359
ii	2078722
sn	2074551
to	2059181
an	2044041
nn	2030710
sa	1995216
sr	1991901
nt	1978144
ni	1977680
ra	1955083
so	1950463
ri	1919373
os	1899236
ar	1847517
ro	1832845
ha	1822886
dt	1775427
or	1751430
nh	1740068
de	1716585
on	1666814
rs	1662669
ue	1596807
ns	1583306
fe	1573794
me	1559762
ah	1528975
eu	1526103
si	1516581
il	1510680
in	1503747
tl	1487992
od	1458150
ec	1456526
ho	1452565
hi	1434672
th	1408456
ih	1401451
la	1399559
mt	1383838
ed	1371579
rr	1368926
da	1367820
lt	1346144
sd	1330651
ol	1329256
li	1325447
ss	1318587
em	1316505
ir	1309356
tc	1302281
ht	1298719
lo	1285295
pt	1252663
cs	1251135
al	1223735
ce	1200002
tm	1197503
hr	1196680
ct	1186589
di	1174385
ln	1160555
ls	1151793
ut	1137588
uo	1133454
ge	1126810
ef	1106110
yr	1096152
tu	1094275
sl	1093643
au	1081260
ds	1074752
td	1070708
ui	1062777
oc	1061989
mi	1041167
rl	1024615
un	1023432
co	1011796
wl	1006010
nd	995480
sh	992784
nu	992126
wh	990360
hs	982873
ep	980180
ad	980076
dn	976997
sc	975135
nl	973829
ey	972727
rh	972324
cn	971180
rd	962447
ru	944133
su	933191
do	923959
ty	920807
tf	917975
ay	917811
tp	912586
tg	911417
ua	910717
lr	907580
id	906577
ca	905246
wt	874900
ft	873204
hh	865522
fm	864663
ou	860684
ic	860176
ac	855130
ew	849040
ci	847302
bt	841763
cr	830313
dr	821373
sp	819538
rc	816116
gt	802418
hl	793640
ye	790959
cl	783722
ps	780799
ga	769082
rg	763587
nf	761889
mn	761796
.e	760751
am	757590
lh	742686
nc	740103
pi	738924
sm	729656
of	727985
eg	715419
af	712487
we	708903
hd	707536
i.	705279
aw	700740
iu	695537
ma	695032
ld	689769
hg	677369
tb	673889
sf	673809
pe	672494
us	663808
fr	656742
eb	655617
mr	655265
hn	654854
i,	651612
ur	648476
tw	641366
cd	636142
lg	622969
pn	620370
ap	615175
gn	612494
ya	610894
ng	607059
,e	605481
yt	602236
mo	600719
ny	596689
gs	596437
hu	595173
pa	590042
fa	588704
hp	588240
ve	579094
uh	578113
iw	573379
bi	567678
e.	567673
cp	567562
ib	561949
if	560704
go	556663
om	556078
oy	553492
dg	548575
sg	547762
fs	542147
op	541265
rm	540871
dl	540690
ab	540270
ow	537542
ip	533762
nm	533385
ba	530568
rf	528445
ms	524601
bn	523988
pc	519807
wn	519713
np	516939
im	516677
ev	515126
gi	507092
sv	505913
dc	505816
mh	499644
,d	498809
a.	498377
sw	495470
fi	493195
yo	492471
rp	492174
e,	492084
gd	486272
hc	485154
o.	481461
ul	479749
nw	476812
a,	473966
fl	473151
nb	471839
dd	470793
ys	469702
bo	467049
yn	463368
,t	456543
og	456187
gr	452609
vt	452491
be	442997
hw	432394
ob	430400
dh	422242
ag	417763
vi	417679
cc	413105
ry	411716
o,	409922
fn	409176
sy	407880
ly	403801
yi	402167
fc	402145
df	399139
hm	394993
wa	394693
fu	389248
po	388324
.h	387698
ll	387608
iy	387168
vo	387129
ud	384923
wr	381518
cm	380366
pd	380119
dm	377928
yc	376669
pr	375757
wk	373105
fd	371915
lf	368965
du	362052
lc	361882
yd	361872
.t	359334
.a	357374
tv	355293
.o	355011
lu	354269
lm	353544
dp	351022
lw	347979
wc	347978
.i	347738
wd	346331
sb	342693
ov	342680
cf	338451
lk	337552
bs	337026
ml	333187
va	330095
vy	327950
ws	327406
rb	327174
tk	325188
kg	321487
pp	315084
fo	314884
rw	310297
,i	306083
ch	304300
av	303952
lp	303513
gh	301010
yh	297904
,a	297451
hb	294430
md	294099
gu	292118
jt	291021
n.	287807
kt	286452
hf	286091
nv	285444
bh	284079
hk	283584
py	280767
my	279866
bl	279854
yl	279774
bk	279076
dw	272675
'e	271088
ko	270804
uc	270436
wo	269893
gl	268733
n,	265673
gm	264709
uy	264011
uf	263786
vs	260935
t.	260091
cv	260005
pl	258776
hy	256358
cb	256122
uu	255851
ig	251604
bc	248341
ym	248179
rk	247829
yg	245417
,o	240227
br	239130
lb	237814
db	235008
mc	233391
.r	233376
ka	232248
ub	231336
t,	230354
e'	230055
pv	229542
dv	229216
iv	226872
pf	225226
ks	223949
.n	222813
'o	222150
kw	221612
r.	219753
cu	219324
pm	214685
lv	213353
r,	213111
'a	212725
gf	212504
pg	212220
gc	211448
vu	210187
wi	210013
,r	209804
.s	208509
yu	204735
,s	204174
mu	202943
ke	198926
yw	197296
sk	196813
.u	195430
cy	194374
fh	192836
gw	190164
dy	189186
mb	187796
gg	187368
u.	185992
bd	185596
vg	185433
i'	184336
rv	184033
ki	183574
mg	181687
l,	180005
,c	178789
um	174446
uw	174240
,u	172478
gp	169698
