te	8856473
et	6211205
ae	5405620
ee	5150221
oe	4523425
ea	4312520
eo	4265009
ot	4096325
ie	4053850
ad	3944591
to	3907482
ei	3884736
es	3749554
ta	3700557
ig	3420125
nt	3393781
ai	3268913
at	3242045
so	3162744
ne	3160605
tr	2851277
ra	2736970
se	2671666
sa	2654238
in	2613819
it	2610644
er	2475659
ti	2429678
re	2398816
si	2360250
hs	2342016
os	2326747
oa	2304429
no	2298414
sn	2272221
en	2266159
ia	2245867
ni	2239667
na	2152134
aa	2116482
ii	2109273
fr	2081010
tn	2080620
ih	2041842
as	2021379
eh	2014519
ns	1999632
al	1994595
hr	1956015
sr	1938569
ht	1906423
rs	1885054
is	1881062
oi	1872798
ri	1823053
rt	1806870
rn	1777638
ao	1770042
hn	1767738
mn	1758802
ro	1755664
nh	1700092
tt	1699272
ut	1659006
do	1649558
or	1647427
dn	1616753
yu	1614518
ue	1605129
cn	1602306
ol	1560102
on	1552528
lt	1509375
oo	1508370
el	1503649
il	1479155
ts	1464710
la	1453573
de	1436334
st	1415542
ed	1414274
eu	1413773
ep	1412680
po	1412653
pr	1410556
ef	1391125
ls	1384170
th	1373344
ec	1352383
le	1349222
oh	1339253
ln	1338735
lo	1336536
sh	1263978
nr	1255011
da	1248276
od	1231427
ci	1193132
gt	1189253
rc	1170181
ce	1150537
nl	1148352
ss	1146154
ca	1143983
nn	1136595
pe	1125970
ui	1124166
dr	1108439
rh	1107713
nw	1095790
vr	1087158
rm	1073239
wt	1065922
tl	1065488
td	1056449
fo	1048974
go	1046523
ac	1039685
om	1008639
ud	1001408
fe	979955
cs	961746
tm	960281
di	959106
an	958782
mr	957828
tc	957269
wr	952929
rd	950658
cm	946924
dh	946638
bt	944345
ua	926088
li	921656
ah	911894
hl	903135
dt	902244
cu	899277
sl	898301
co	891011
ew	882569
mt	881002
op	879134
hc	872128
ey	868668
ar	867424
lc	864787
ho	863773
sm	861854
oc	859413
ya	858481
id	850129
su	850052
cl	847622
yo	847475
hm	844585
ha	844266
fh	840366
rl	839052
ms	836947
ds	836235
ic	833988
ay	830584
sf	824055
cr	815722
hi	812530
be	811350
gn	809872
eb	806121
em	804315
tf	802515
ru	785268
e.	780266
uh	777368
og	772148
pi	771913
ge	768634
nc	768010
lr	767182
ye	764780
sc	761480
ga	758672
ap	757424
ct	749193
nf	745909
e,	742810
.h	733095
io	729303
iy	729301
us	729080
ly	727251
pa	725534
we	724150
ul	721315
ml	720351
ok	711968
hp	709065
ak	703035
,h	701901
rp	696604
nu	689853
ws	686005
of	684939
sd	682769
hw	679466
pn	671983
nm	669948
wl	666277
he	660957
gi	653954
tp	635041
yn	634749
tu	624571
,n	618738
hv	616630
hd	614826
ou	613373
iu	605989
nd	598837
ny	598276
rf	597510
au	580512
vn	577873
ma	577279
kn	569736
hu	568377
lw	566955
np	565454
rw	565116
im	564105
dc	563758
ld	556931
me	556164
wi	555969
tb	555929
ag	554715
hh	553823
mo	551788
lb	551653
ty	550177
ip	549919
rr	547077
am	546687
rg	538385
dy	533624
fn	533114
ev	531216
,o	525155
eg	521703
fc	514495
fl	514251
yi	512787
if	510237
lh	505876
fi	503502
gh	502903
sp	500455
ow	495589
oy	495346
yh	486766
rv	485606
gr	484633
.t	484106
bi	484101
sb	482330
wo	481927
ba	481133
n.	474559
.o	470837
wa	469396
br	467681
ab	464177
lf	461823
wn	461525
aw	461298
ps	459627
iw	458152
df	451253
lg	449148
uo	447996
hf	445378
yr	445035
mi	444337
n,	441987
pt	441773
hy	432334
uc	431328
fa	429778
gs	424851
rb	423805
vl	423593
dl	422807
nb	421113
du	419091
ur	418286
ry	417290
pc	416756
ob	414699
md	413563
dd	410017
lm	407118
hb	406371
ir	404077
tw	403083
bs	401792
af	396670
sw	394902
bc	392613
o.	391499
tv	390685
,e	390089
ko	389928
yt	387266
tg	384844
sy	383457
ik	380735
vs	374285
r.	363181
o,	362912
bl	362336
un	357148
sg	348340
vt	341298
bo	339368
.e	336959
r,	336073
kt	334151
up	334005
pl	333243
vd	331435
lu	331221
lv	330548
bu	330264
l,	329167
lp	326997
ek	323492
mc	319412
,u	317073
wy	313201
.a	312821
hg	310856
ng	308328
cp	307244
,a	305230
.i	303203
a,	298666
ft	294698
t.	294696
l.	290397
dw	285186
o'	280043
a.	279023
dp	276310
fu	276094
lk	276090
ys	272060
i.	271624
'e	271239
nv	268934
cd	268750
sv	266630
mh	266162
t,	257500
ib	257201
gl	256215
dm	253660
.n	251680
dv	250847
mu	247744
bn	245991
ka	244584
ub	242746
iv	238971
yf	235832
wu	235536
mk	234087
fs	233316
e'	233046
i,	232009
tk	230190
,i	228532
ll	223521
s.	221138
js	218758
xe	217704
va	216804
s,	216545
,r	215969
uf	214851
vc	213552
py	207055
ug	206091
ov	200766
ke	198745
c.	195728
mm	194504
wh	194496
ks	186779
mg	183797
,t	182754
c,	182349
'a	180312
bd	179563
my	179132
